,category,lat,long
0,plastic,48.939712116909455,2.21648483057409
1,bottle,48.77238,2.214755
2,beer_bottle,48.7849984,2.3724032
3,Border_collie,48.7849984,2.3724032
4,beer_bottle,48.7849984,2.3724032
5,bottle,49.58464557868486,-1.8438016724933703
6,beer_bottle,49.67719724983841,-1.9361705666892857
7,plastic,46.46904825034196,-1.741780800141457
8,fiddler_crab,48.9365812,2.5280934
9,beer_bottle,48.9366038,2.5280611
10,beer_bottle,48.9366247,2.5280903
11,beer_bottle,48.9366247,2.5280903
12,beer_bottle,48.9366679,2.5280241
13,packet,48.7882786,2.3821944
14,packet,48.7882786,2.3821944
15,apple,48.7882917,2.3821608
16,bottle,48.9380998,2.2160882
17,screw,48.9296222,2.2266957
18,packet,48.9296222,2.2266957
19,bottlecap,48.9296222,2.2266957
20,plastic_bag,48.9296222,2.2266957
21,plastic_bag,48.9296222,2.2266957
22,plastic_bag,48.9296222,2.3
23,apple,48.9296222,2.2266957
24,packet,48.9296222,2.2266957
